Rozdzial;Budynki
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
qibla wall;ściana kibli;;[sound:quizlet-16914807907-front.mp3];[sound:quizlet-16914807907-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076448_191229_1726_50.jpg'>
rampart;szaniec;;[sound:quizlet-16914807916-front.mp3];[sound:quizlet-16914807916-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076403_200114_1630_22.jpg'>
reception hall;sala przyjęć;;[sound:quizlet-16914807919-front.mp3];[sound:quizlet-16914807919-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076404_191229_1729_22.jpg'>
rehearsal room;sala prób;;[sound:quizlet-16914807921-front.mp3];[sound:quizlet-16914807921-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076405_200115_1341_40.jpg'>
restaurant;restauracja;;[sound:quizlet-16914807929-front.mp3];[sound:quizlet-16914807929-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076406_200115_1353_19.jpg'>
retrenchment;nadszaniec;;[sound:quizlet-16914807930-front.mp3];[sound:quizlet-16914807930-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076407_200114_1620_04.jpg'>
Roman house;dom rzymski;Synonimy: domus;[sound:quizlet-16914807936-front.mp3];[sound:quizlet-16914807936-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076410_191229_1714_54.jpg'>
rotunda;rotunda;;[sound:quizlet-16914807944-front.mp3];[sound:quizlet-16914807944-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076415_200115_1338_50.jpg'>
sanctuary;sanktuarium;;[sound:quizlet-16914807950-front.mp3];[sound:quizlet-16914807950-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076289_191229_1714_34.jpg'>
semi-detached houses;(domy) bliźniaki;;[sound:quizlet-16914807970-front.mp3];[sound:quizlet-16914807970-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076295_200115_1344_17.jpg'>
shed;budynek gospodarczy/szopa;;[sound:quizlet-16914807978-front.mp3];[sound:quizlet-16914807978-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076299_200115_1335_08.jpg'>
shop;sklep;;[sound:quizlet-16914807979-front.mp3];[sound:quizlet-16914807979-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076300_191229_1718_28.jpg'>
side chapel;kaplica boczna;;[sound:quizlet-16914807983-front.mp3];[sound:quizlet-16914807983-back.mp3];"<img src=""quizlet-JLLQQMEgbU9A6quIMZF5GQ.jpg"">"
skyscraper;drapacz chmur;;[sound:quizlet-16914807997-front.mp3];[sound:quizlet-16914807997-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076312_200115_1353_04.jpg'>
small detached house;willa;Synonimy: villa, residence;[sound:quizlet-16914808007-front.mp3];[sound:quizlet-16914808007-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076318_200115_1344_57.jpg'>
stadium;stadion;;[sound:quizlet-16914808021-front.mp3];[sound:quizlet-16914808021-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076322_200115_1347_38.jpg'>
stage;scena;;[sound:quizlet-16914808022-front.mp3];[sound:quizlet-16914808022-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076323_200115_1340_39.jpg'>
stockade;palisada;;[sound:quizlet-16914808030-front.mp3];[sound:quizlet-16914808030-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076328_200114_1644_15.jpg'>
straw hut;szałas;;[sound:quizlet-16914797759-front.mp3];[sound:quizlet-16914797759-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077261_191228_1543_01.jpg'>
tablinum;tablinum;;[sound:quizlet-16914808046-front.mp3];[sound:quizlet-16914808046-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076084_191229_1716_39.jpg'>
tenement;kamienica;Synonimy: tenement house;[sound:quizlet-16914808048-front.mp3];[sound:quizlet-16914808048-back.mp3];"<img src=""quizlet-bJgQ9ppLuCAiSaUnvUM4nQ.jpg"">"
tepee;tipi;;[sound:quizlet-16914808050-front.mp3];[sound:quizlet-16914808050-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076085_191228_1543_42.jpg'>
terraced houses;domy szeregowe;;[sound:quizlet-16914808051-front.mp3];[sound:quizlet-16914808051-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076086_200115_1343_45.jpg'>
terreplein;ławka strzelecka;;[sound:quizlet-16914808052-front.mp3];[sound:quizlet-16914808052-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076087_200114_1629_21.jpg'>
town house;dom miejski;;[sound:quizlet-16914808066-front.mp3];[sound:quizlet-16914808066-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076096_200115_1345_19.jpg'>
traditional dwellings;budownictwo tradycyjne;;[sound:quizlet-16914808068-front.mp3];[sound:quizlet-16914808068-back.mp3];"<img src=""quizlet-D9d6wTX55CGAwqid0lhzqg.jpg"">"
transept spire;sygnaturka/transept;;[sound:quizlet-16914808070-front.mp3];[sound:quizlet-16914808070-back.mp3];"<img src=""quizlet-Yb5x1Lmz94Fm7YX2NYVnwQ.jpg"">"
turret;wieżyczka;;[sound:quizlet-16914808342-front.mp3];[sound:quizlet-16914808342-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076107_200114_1632_14.jpg'>
veranda;weranda;Synonimy: porch;[sound:quizlet-16914808349-front.mp3];[sound:quizlet-16914808349-back.mp3];"<img src=""quizlet-k2qUoTqCCuE6xi.8Eol7sw.jpg"">"
vestibule;westybul;;[sound:quizlet-16914808352-front.mp3];[sound:quizlet-16914808352-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075884_191229_1717_29.jpg'>
wigwam;wigwam;;[sound:quizlet-16914808360-front.mp3];[sound:quizlet-16914808360-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075848_191228_1538_20.jpg'>
yurt;jurta;;[sound:quizlet-16914797809-front.mp3];[sound:quizlet-16914797809-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076998_191228_1540_09.jpg'>
