Rozdzial;Elementy konstrukcyjne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
discontinuity;nieciągłość;;[sound:quizlet-16914786317-front.mp3];[sound:quizlet-16914786317-back.mp3];"<img src=""quizlet-Xl4VUvv6pD2Ld2WU-IhALA.jpg"">"
displacement;przemieszczenie;;[sound:quizlet-16914786319-front.mp3];[sound:quizlet-16914786319-back.mp3];"<img src=""quizlet-cI0kutK2PvU0iqU5droalg.jpg"">"
ditch;rów;;[sound:quizlet-16914786323-front.mp3];[sound:quizlet-16914786323-back.mp3];"<img src=""quizlet-Oe9fqwQBY6U4OQ0r9h7RJA.jpg"">"
dome;kopuła;Synonimy: dome roof;[sound:quizlet-16914786325-front.mp3];[sound:quizlet-16914786325-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375854_200114_1649_00.jpg'>
double connector;podwójne złącze;;[sound:quizlet-16914786332-front.mp3];[sound:quizlet-16914786332-back.mp3];"<img src=""quizlet-OLZ5lScz8e2wWCiR1Y0Q0A.png"">"
double plate;ściąg;;[sound:quizlet-16914786335-front.mp3];[sound:quizlet-16914786335-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075053_200115_1259_28.jpg'>
dowel;kołek;Synonimy: pin, peg, hob;[sound:quizlet-16914786337-front.mp3];[sound:quizlet-16914786337-back.mp3];"<img src=""quizlet-OJ9pcsSG.fpyfE85ZImpPw.jpg"">"
downpipe;rynna spustowa;;[sound:quizlet-16914786338-front.mp3];[sound:quizlet-16914786338-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075054_200115_1304_04.jpg'>
drag;opór;Synonimy: resistance;[sound:quizlet-16914786340-front.mp3];[sound:quizlet-16914786340-back.mp3];"<img src=""quizlet-D9OVEgiHSm.LMLWGPJFCLA.jpg"">"
drip;kapać;;[sound:quizlet-16914786346-front.mp3];[sound:quizlet-16914786346-back.mp3];"<img src=""quizlet--jmud.3OZReEv89q1ZqV-g.jpg"">"
driveway;alejka wjazdowa;;[sound:quizlet-16914786347-front.mp3];[sound:quizlet-16914786347-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068532_200115_1333_00.jpg'>
drum;bęben/tambur;Synonimy: tholobate;[sound:quizlet-16914786348-front.mp3];[sound:quizlet-16914786348-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075057_191228_1601_36.jpg'>
earth pressure;ciśnienie ziemi;;[sound:quizlet-16914786351-front.mp3];[sound:quizlet-16914786351-back.mp3];"<img src=""quizlet-yxsUyl.JrBMNbx90xH1Bqw.jpg"">"
eaves;okap;Synonimy: hood, weatherboard;[sound:quizlet-16914786352-front.mp3];[sound:quizlet-16914786352-back.mp3];"<img src=""quizlet-nwG3y4SeVQOA7jH.1zz3YQ.jpg"">"
eddy;wir;Synonimy: vortex;[sound:quizlet-16914786354-front.mp3];[sound:quizlet-16914786354-back.mp3];"<img src=""quizlet-KRiOiOHOzn3kcbrN6LA3zQ.jpg"">"
edge;krawędź;;[sound:quizlet-16914793002-front.mp3];[sound:quizlet-16914793002-back.mp3];"<img src=""quizlet-K3KhcBnP0agA3sG0-WNaKQ.png"">"
elastic modulus;moduł sprężystości;;[sound:quizlet-16914793005-front.mp3];[sound:quizlet-16914793005-back.mp3];"<img src=""quizlet-EmD-NVE8DQa0C0okUuNv7Q.png"">"
elevation;podniesienie;Synonimy: raise, increase;[sound:quizlet-16914793019-front.mp3];[sound:quizlet-16914793019-back.mp3];"<img src=""quizlet-uWaIzRzJDvnwTQvBNKEfEg.jpg"">"
elevonics;elewacje;;[sound:quizlet-16914793021-front.mp3];[sound:quizlet-16914793021-back.mp3];"<img src=""quizlet-Y0aYledSVgt0zdLXhxB.WQ.png"">"
elongation;wydłużenie;;[sound:quizlet-16914793024-front.mp3];[sound:quizlet-16914793024-back.mp3];"<img src=""quizlet-Bkkh0WZaHl7cftWOF7Pe6Q.png"">"
embankment;wał przeciwpowodziowy;;[sound:quizlet-16914793025-front.mp3];[sound:quizlet-16914793025-back.mp3];"<img src=""quizlet-5Aup0C8b51wZWrPkv1tRsA.jpg"">"
entablature;belkowanie;;[sound:quizlet-16914793034-front.mp3];[sound:quizlet-16914793034-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075153_191228_1549_08.jpg'>
entry;wejście;Synonimy: entrance;[sound:quizlet-16914793037-front.mp3];[sound:quizlet-16914793037-back.mp3];"<img src=""quizlet-ox2NRAK1It1RvBEPOsjDug.jpg"">"
equilibrium;równowaga;Synonimy: balance, stability;[sound:quizlet-16914793043-front.mp3];[sound:quizlet-16914793043-back.mp3];"<img src=""quizlet-kDC.4X1otJyFP6Z.nE4-VA.jpg"">"
euthynteria;fundament;Synonimy: fundation;[sound:quizlet-16914793051-front.mp3];[sound:quizlet-16914793051-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075156_200115_1252_44.jpg'>
expansion;ekspansja;;[sound:quizlet-16914793055-front.mp3];[sound:quizlet-16914793055-back.mp3];"<img src=""quizlet-Yhkmbf-xVVuelYpdLuhoUQ.jpg"">"
extrados;ościeże zewnętrzne;;[sound:quizlet-16914793058-front.mp3];[sound:quizlet-16914793058-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075157_191229_1735_10.jpg'>
fascia;pas architrawu;;[sound:quizlet-16914793062-front.mp3];[sound:quizlet-16914793062-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075180_191228_1554_52.jpg'>
fastener;łącznik;Synonimy: connector, coupler, link;[sound:quizlet-16914793063-front.mp3];[sound:quizlet-16914793063-back.mp3];"<img src=""quizlet-GjwQPZmifwdz6FEl4JpS4w.jpg"">"
fence;płot;Synonimy: hoarding;[sound:quizlet-16914793065-front.mp3];[sound:quizlet-16914793065-back.mp3];"<img src=""quizlet-Hw01w_5xBNpY4cNNK89QNA.jpg"">"
fire-fighting shaft;szyb przeciwpożarowy;;[sound:quizlet-16914793073-front.mp3];[sound:quizlet-16914793073-back.mp3];"<img src=""quizlet-QWlTbEK7gCJnNlRCOKbj2A.png"">"
flank;bok;Synonimy: side;[sound:quizlet-16914793082-front.mp3];[sound:quizlet-16914793082-back.mp3];"<img src=""quizlet-A0RHEtUkdeBtvIeT7h9Zaw.jpg"">"
flat roof;dach płaski;;[sound:quizlet-16914793084-front.mp3];[sound:quizlet-16914793084-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075186_200114_1647_40.jpg'>
flex;zgiąć;;[sound:quizlet-16914793085-front.mp3];[sound:quizlet-16914793085-back.mp3];"<img src=""quizlet-nNpk7gf5uS9ZKtbnxV0ZQQ.jpg"">"
flight of stairs;bieg schodowy;;[sound:quizlet-16914793087-front.mp3];[sound:quizlet-16914793087-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075188_200115_1156_33.jpg'>
floor joist;belka podłogowa/legar;;[sound:quizlet-16914793089-front.mp3];[sound:quizlet-16914793089-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075189_200115_1254_06.jpg'>
flying buttress;łuk przyporowy;;[sound:quizlet-16914793094-front.mp3];[sound:quizlet-16914793094-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075192_191229_1745_17.jpg'>
footing;podstawa fundamentowa;;[sound:quizlet-16914793097-front.mp3];[sound:quizlet-16914793097-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075195_200115_1253_07.jpg'>
force;siła;;[sound:quizlet-16914793098-front.mp3];[sound:quizlet-16914793098-back.mp3];"<img src=""quizlet-FXOq0JiG.6io8AK1Daz6SQ.jpg"">"
formeret;żebra przyścienne;;[sound:quizlet-16914793101-front.mp3];[sound:quizlet-16914793101-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075196_200114_1555_23.jpg'>
fracture;pęknięcie;Synonimy: rupture, crack;[sound:quizlet-16914793107-front.mp3];[sound:quizlet-16914793107-back.mp3];"<img src=""quizlet-c5aqyV31j2RckbmqyLV1ow.jpg"">"
frame;szkielet budynku;;[sound:quizlet-16914793108-front.mp3];[sound:quizlet-16914793108-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075201_200115_1303_00.jpg'>
freestanding;wolnostojący;;[sound:quizlet-16914793109-front.mp3];[sound:quizlet-16914793109-back.mp3];"<img src=""quizlet-WISkDa7gyaVvUygrFGV5fQ.jpg"">"
friction;tarcie;;[sound:quizlet-16914793115-front.mp3];[sound:quizlet-16914793115-back.mp3];"<img src=""quizlet-jlYkWpGsSSGNOKitOvI_bA.jpg"">"
