Rozdzial;Wykończenia i detale
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
sill;próg;Synonimy: threshold, doorstep;[sound:quizlet-16914807988-front.mp3];[sound:quizlet-16914807988-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376901_200115_1152_26.jpg'>
sill of frame;parapet;Synonimy: rail, stool, window-sill;[sound:quizlet-16914807989-front.mp3];[sound:quizlet-16914807989-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076305_200115_1141_38.jpg'>
skirting board;listwa przypodłogowa;;[sound:quizlet-16914807994-front.mp3];[sound:quizlet-16914807994-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076310_200219_1834_15.jpg'>
skirting trunking;listwy przypodłogowe;;[sound:quizlet-16914807995-front.mp3];[sound:quizlet-16914807995-back.mp3];"<img src=""quizlet-zG-EcTaQ68popIbs6qkvRQ.png"">"
skylight;świetlik;;[sound:quizlet-16914807996-front.mp3];[sound:quizlet-16914807996-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076311_200115_1316_44.jpg'>
sliding door;drzwi rozsuwane;;[sound:quizlet-16914808000-front.mp3];[sound:quizlet-16914808000-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076313_200115_1145_22.jpg'>
sliding folding window;okno przesuwne składane;;[sound:quizlet-16914808001-front.mp3];[sound:quizlet-16914808001-back.mp3];"<img src=""quizlet-TIV3SQ8BKfmyuBlxEUuXIQ.jpg"">"
sliding window;okno przesuwne poziomo;;[sound:quizlet-16914808002-front.mp3];[sound:quizlet-16914808002-back.mp3];"<img src=""quizlet-5ko.Y7SOKtj4ZpbnlWMVww.jpg"">"
stile tongue of sash;listwa uszczelniająca;;[sound:quizlet-16914808028-front.mp3];[sound:quizlet-16914808028-back.mp3];"<img src=""stile tongue of sash.jpg"">"
suspended ceiling;podwieszany sufit;;[sound:quizlet-16914808044-front.mp3];[sound:quizlet-16914808044-back.mp3];"<img src=""quizlet-BEzygM-kxuhVqeJaXGD2KA.png"">"
top rail;ramiak górny;;[sound:quizlet-16914808063-front.mp3];[sound:quizlet-16914808063-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076094_200115_1155_00.jpg'>
Versailles parquet;parkiet wersalski;;[sound:quizlet-16914808350-front.mp3];[sound:quizlet-16914808350-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075882_200115_1159_33.jpg'>
vertical pivoting window;okno obracane;;[sound:quizlet-16914808351-front.mp3];[sound:quizlet-16914808351-back.mp3];"<img src=""quizlet-hmWadZ2XmhxFXp1QLLrnKw.jpg"">"
window;okno;;[sound:quizlet-16914808361-front.mp3];[sound:quizlet-16914808361-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075849_200115_1331_48.jpg'>
wood flooring;parkiet;;[sound:quizlet-16914808362-front.mp3];[sound:quizlet-16914808362-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075850_200115_1213_47.jpg'>
woodstrip flooring;ułożenie deseczkowe parkietu;;[sound:quizlet-16914808363-front.mp3];[sound:quizlet-16914808363-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075851_200115_1203_50.jpg'>
