absorption tube;rura absorpcyjna
rare gas;rzadki gaz
rare metal;rzadki metal
ray;strumień
reflux;cofać się (o płynach)
regeneration;regeneracja
replicating ;replikowanie
ring;pierścień
saturated compound;związek nasycony
saturated solution;roztwór nasycony
scientific method;metoda naukowa
scientific notation;zapis naukowy
yeast;drożdże
X-rays;promienie X
wave;fala
water vapor;para wodna
water pollution;zanieczyszczenie wody
water glass;szkło wodne
water gas;gaz wodny
volumetric analysis;analiza objętościowa
vicinal;sąsiedni, przylegający
ultraviolet radiation;promieniowanie ultrafioletowe
ultimate analysis;analiza zawartości biomasy
true solution;roztwór właściwy
tritium;tryt
triple point;punkt potrójny
triple bond;potrójne wiązanie
transmutation;transmutacja
titrant;roztwór miareczkowany
thermochemistry;termochemia
theory;teoria
solid solution;roztwór stały
solute;substancja rozpuszczalna
solution;roztwór
solvent;rozpuszczalnik
spectroscopy;spektroskopia
stability;stabilność
stabilization;stabilizacja
stabilizer;stabilizator
standard solution;rozwiązania standardowe
state;stan
stereochemistry;stereochemia
stereoisomer;stereoizomer
strong electrolyte;mocny elektrolit
structural formula;wzór strukturalny
sublevel;podpoziom
subscript;indeks dolny
chemical substance;substancja chemiczna
substituent;składnik zastępczy
supersaturated solution;roztwór przesycony
surface;powierzchnia
surface area;pole powierzchni
suspension;zawiesina
symbol;symbol
synthesis gas;gaz syntezowy
technology;technika
copolymer;kopolimer
polycarbonate;poliwęglan
polychloroprene;polichloropren
polycondensation;polikondensacja
polyelectrolyte;polielektrolit
polyester;poliester
polyethylene;polietylen
polyethylene glycols;glikole polietylenowe
polyhydric alcohol;alkohol poliwodorowy
polyisoprene;poliizopren
polymer;polimer
polymerization;polimeryzacja
polypropylene;polipropylen
polystyrene;polistyren
adhesive;adhezyjny
amphoteric;amfoteryczny
aqueous;wodnisty
colligative properties;własności koligatywne roztworów
electrovalence;wartościowość elektrochemiczna
hygroscopic;higroskopijny
immiscible;niemieszalny
impermeable;nieprzepuszczalny
non-flammable;niepalny
isotropic;izotropowy
molecular;molekularny
miscible;mieszalny
plastic;plastyczny
property;właściwość
radioactivity;radioaktywność
semi-permeability;półprzepuszczalność
semisynthetic;półsyntetyczny
thermoplastic;termoplastyczny
vitreous;szklisty
viscosity;lepkość
weak acid;słaby kwas
weak base;słaba zasada
solubility;rozpuszczalność
density;gęstość
inflammable, incendiary;łatwo palny
toxicity;toksyczność
ductility;kowalność
reactivity;reaktywność
Avogadro constant;stała Avogadra
Boyle's law;prawo Boyla
centimeter;centymetr
centi;centi
Celsius scale;skala Celsjusza
cubic centimeter;centymetr sześcienny
dot diagram;diagram punktowy
equilibrium constant;stała równowagi
gram;gram
hertz;herc
hardness;twardość
kinetic theory;kinetyczno-molekularna teoria gazów
Kelvin scale;skala Kelwina
joule;dżul
isotonic;izotoniczny
ionization constant;stała jonizacji
Law of Conservation of Mass;Prawo Zachowania Masy
liter;litr
mass number;liczba masowa
Nernst equation;równanie Nernsta
molecular mass;masa cząsteczkowa
molarity;stężenie molarne
molar volume;objętość molarna
molality;molalność
milliliter;mililitr
milli;mili
Pascal;Pascal
physical property;własność fizyczna
radius;promień
solubility curve;krzywa rozpuszczalności
solubility product constant ;stała wyniku rozpuszczalności
stability constant;stała stabilności
standard condition;warunki standardowe
standard electrode potential;standardowa potencjalność elektrody
standard solution;rozwiązanie standardowe
temperature;temperatura
volume;objętość
volt;wolt
velocity of light;prędkość światła
velocity;prędkość
vapor pressure;ciśnienie parowania
Van't Hoff equation;równanie Van't Hoffa
Van der Waals force;siła Van der Walsa
unit;jednostka
uncertainty principle ;zasada nieokreśloności Heisenberga
wave length;długość fali
wave velocity;prędkość fali
weight ;waga
